column_name,original_value,dummy_value
campus_id,30023539,c9baf3cf-8e82-4a3a-91a2-12829c9f23e7
campus_id,30034171,95bb42f6-fd61-406f-9fbf-1f1ffeb3859e
campus_id,30086415,80407170-8e16-47d2-88ca-6452fa4ebc26
campus_id,30010612,1f7ab089-8dcb-4c02-896d-6e2dee1bc46a
campus_id,30013363,fada4e1e-c7fe-44fe-9010-cb2c9938fe03
campus_id,30029712,2f8fc745-ef89-4f4e-a8d9-aedd7de7ce3c
campus_id,30033647,97879d5d-6b92-472a-9bf0-6d785ef9613d
campus_id,30014417,ae7f0b65-9918-4a4c-a33e-00e7affaa076
campus_id,30033765,01d9dfc8-fde9-45f3-bbab-76f139caa754
campus_id,30034271,d023b009-3b44-4261-b0a4-77a58dfa6eee
campus_id,30034565,68ed13bb-d50f-485f-9651-497aa8965e54
campus_id,30042990,b1a29b51-5322-4c71-9834-5df9dae04eda
campus_id,30009892,168ecc77-5fde-4776-81c0-43b988a72011
campus_id,30005026,16c5f989-00c5-4b4b-aa15-3696da340615
campus_id,30006790,0bf54e63-f769-43c0-bc46-f48d32125d5d
campus_id,30007963,738f9219-5c8a-4627-a4f9-74f29632f568
campus_id,30014114,c81a2c04-c74f-466d-8cfe-2d9b1130ea61
campus_id,30022960,6288c839-fb86-4021-b55b-fb39c9d662c6
campus_id,30026458,ba2865a2-6380-4a8a-b857-5c2748191b6c
campus_id,30001011,cab013fc-573b-483a-a420-ae9937b78046
campus_id,30033948,6bddff07-5aee-406b-a6e9-ab141b70165e
campus_id,30003397,6f2968e9-c45e-47d7-bc99-59ecad460bb2
campus_id,30022651,ec6db859-edeb-4676-bcd8-cf8627cf6c55
campus_id,30036413,84178fe0-f7bf-4aca-b4e5-8d069708fb31
campus_id,30025480,82d513f7-69b1-4ade-a1ae-90c2c12ba73f
campus_id,30005809,9736dcb4-044c-4123-9e4d-b7a908de6b64
campus_id,30034338,cdfcadc5-a285-43cb-9060-4adde8c42e69
campus_id,30036470,fbc251e9-bde8-490c-a3d9-95661808760e
campus_id,30055485,06471db0-78b0-48a1-b155-65581348df2e
campus_id,30018270,baa71945-a277-41bf-98d8-b77c09cb61e1
campus_id,30034646,40c75316-ed24-401d-8268-5664240cc19a
campus_id,30037626,c2f134f1-987f-40f3-a4ae-f70933bb2f37
campus_id,30021164,fd00930b-9259-4fc9-8d07-44f2894ec1b8
campus_id,30035050,5f289ea3-dbb6-4ec2-b622-acb67c0a2273
campus_id,30123257,28acc82a-3622-4bc8-88d0-7534ae325117
campus_id,30172194,6108c5ab-4845-44d4-add2-48669f271ff6
campus_id,30025207,aa769418-f838-4064-b6d0-d6632ec0f172
campus_id,30035214,4dfceb5b-57d9-44a0-85e2-903fb456cbd7
campus_id,30043217,295b8a73-d190-416c-85e2-d81c4299b501
campus_id,30002932,aaf84772-a936-49ac-8309-b2946cc8a76c
